Category,School,Address,url
公立,和歌山市立本町こども園,和歌山県和歌山市北桶屋町７,https://www.gaccom.jp/kindergarten-9781.html
公立,和歌山市立岡山幼稚園,和歌山県和歌山市吹上１丁目４－１,https://www.gaccom.jp/kindergarten-9782.html
公立,和歌山市立中之島幼稚園,和歌山県和歌山市中之島１４９５,https://www.gaccom.jp/kindergarten-9783.html
公立,和歌山市立芦原こども園,和歌山県和歌山市雄松町５－４－１,https://www.gaccom.jp/kindergarten-9784.html
公立,和歌山市立湊幼稚園,和歌山県和歌山市湊２－１７－４０,https://www.gaccom.jp/kindergarten-9785.html
公立,和歌山市立宮前幼稚園,和歌山県和歌山市北中島１－７－４,https://www.gaccom.jp/kindergarten-9786.html
公立,和歌山市立西和佐幼稚園,和歌山県和歌山市栗栖７０,https://www.gaccom.jp/kindergarten-9787.html
公立,和歌山市立和佐幼稚園,和歌山県和歌山市禰宜９４９,https://www.gaccom.jp/kindergarten-9788.html
公立,和歌山市立西脇幼稚園,和歌山県和歌山市西庄１０１２,https://www.gaccom.jp/kindergarten-9789.html
公立,和歌山市立加太幼稚園,和歌山県和歌山市加太１３１０,https://www.gaccom.jp/kindergarten-9790.html
公立,和歌山市立紀伊幼稚園,和歌山県和歌山市弘西３１７番地,https://www.gaccom.jp/kindergarten-9791.html
公立,和歌山市立山口幼稚園,和歌山県和歌山市里１４６,https://www.gaccom.jp/kindergarten-9792.html
公立,和歌山市立雑賀崎幼稚園,和歌山県和歌山市西浜１１４８,https://www.gaccom.jp/kindergarten-9793.html
私立,和歌山信愛幼稚園,和歌山県和歌山市屋形町３丁目３２,https://www.gaccom.jp/kindergarten-9851.html
私立,愛徳幼稚園（幼）,和歌山県和歌山市今福3丁目6-37,https://www.gaccom.jp/kindergarten-9853.html
私立,日前幼稚園,和歌山県和歌山市秋月３６５番地,https://www.gaccom.jp/kindergarten-9854.html
私立,雄湊幼稚園,和歌山県和歌山市道場町１番地１,https://www.gaccom.jp/kindergarten-9855.html
私立,みどり幼稚園（幼）,和歌山県和歌山市東高松３－３－３０,https://www.gaccom.jp/kindergarten-9856.html
私立,東山東幼稚園,和歌山県和歌山市山東中１２４番地,https://www.gaccom.jp/kindergarten-9860.html
私立,さくら幼稚園,和歌山県和歌山市吹上３－１－４１,https://www.gaccom.jp/kindergarten-9865.html
私立,三宝幼稚園（幼）,和歌山県和歌山市楠本267-1,https://www.gaccom.jp/kindergarten-9866.html
